region,scheme_area,applications,approved,allocated,avg_processing_days,infrastructure_ready_pct,note,pending_backlog,approval_rate_pct,allocation_rate_pct
Demerara-Mahaica,East Bank Demerara corridor,3520,2490,1810,38,76,High demand; transport access improving,1710,70.7,51.4
Demerara-Mahaica,East Coast Demerara corridor,2810,2040,1580,32,83,Strong allocation momentum,1230,72.6,56.2
Demerara-Mahaica,Greater Georgetown / peri-urban,2380,1490,980,41,68,Backlog pressure from high demand,1400,62.6,41.2
Demerara-Mahaica,Soesdyke-Linden Highway growth zone,3740,2440,1755,29,87,Ready for next allocation cycle,1985,65.2,46.9
Essequibo Islands-West Demerara,West Bank Demerara schemes,2100,1540,1085,36,77,Moderate backlog,1015,73.3,51.7
Essequibo Islands-West Demerara,Parika / East Bank Essequibo,1900,1320,910,43,70,Land-preparation dependency,990,69.5,47.9
East Berbice-Corentyne,New Amsterdam / Canje,1740,1325,1040,30,84,Efficient approvals,700,76.1,59.8
East Berbice-Corentyne,Corentyne corridor,2560,1855,1400,32,80,Steady allocation pipeline,1160,72.5,54.7
Upper Demerara-Berbice,Linden expansion zone,2100,1420,1030,45,71,Infrastructure sequencing needed,1070,67.6,49.0
Upper Demerara-Berbice,Mackenzie / Wismar,1200,760,545,49,66,Document follow-up required,655,63.3,45.4
