region_no,region,applications,approved,allocated,pending_backlog,approval_rate_pct,allocation_rate_pct,avg_processing_days,infrastructure_ready_pct,mortgage_ready,documents_pending
1,Barima-Waini,1250,720,470,780,57.6,37.6,66,58,396,180
2,Pomeroon-Supenaam,1680,980,640,1040,58.3,38.1,58,61,539,238
3,Essequibo Islands-West Demerara,5600,3920,2710,2890,70.0,48.4,39,74,2156,571
4,Demerara-Mahaica,12450,8460,6125,6325,68.0,49.2,34,79,4653,1356
5,Mahaica-Berbice,2750,1850,1265,1485,67.3,46.0,42,71,1017,306
6,East Berbice-Corentyne,4300,3180,2440,1860,74.0,56.7,31,82,1749,380
7,Cuyuni-Mazaruni,1920,980,560,1360,51.0,29.2,69,52,539,319
8,Potaro-Siparuni,1040,520,300,740,50.0,28.8,75,49,286,176
9,Upper Takutu-Upper Essequibo,900,430,250,650,47.8,27.8,81,46,236,159
10,Upper Demerara-Berbice,3300,2180,1575,1725,66.1,47.7,46,69,1199,380
